M,Only host,Only host + svm,svm + gpu,only gpu
516,549.701172,542.630859,8.615234,7.896484
517,545.054688,543.621094,9.582031,8.617188
518,510.833984,508.359375,9.570313,8.509766
519,578.451172,528.041016,9.781250,8.570313
520,516.634766,507.796875,9.111328,9.068359
521,776.935547,780.900391,8.666016,8.144531
522,609.771484,541.279297,9.296875,8.046875
523,536.281250,568.783203,9.361328,8.472656
524,563.025391,594.351563,9.103516,8.156250
525,547.556641,623.611328,9.097656,8.105469
526,567.576172,531.830078,9.146484,8.257813
527,533.685547,551.765625,10.033203,8.974609
528,510.884766,513.806641,9.445313,8.638672
529,585.734375,621.111328,9.482422,8.785156
530,551.812500,571.187500,9.976563,8.781250
531,679.527344,654.671875,10.289063,9.109375
532,558.769531,551.535156,9.585938,8.751953
533,551.132813,553.162109,10.732422,9.179688
534,578.912109,571.333984,10.398438,9.160156
535,582.900391,583.435547,9.939453,9.052734
536,555.248047,563.710938,9.490234,8.679688
537,589.505859,588.179688,11.111328,9.271484
538,571.177734,572.025391,9.808594,8.878906
539,584.318359,618.718750,10.347656,9.269531
540,585.179688,598.753906,9.951172,8.910156
541,595.289063,655.250000,10.042969,9.443359
542,664.912109,588.314453,10.095703,9.416016
543,587.427734,593.630859,9.460938,8.859375
544,576.431641,567.404297,10.689453,11.158203
545,591.632813,603.699219,10.398438,9.320313
546,600.923828,758.777344,10.535156,9.240234
547,607.875000,611.505859,9.798828,9.039063
548,616.781250,614.775391,10.275391,9.470703
549,603.017578,615.710938,11.220703,9.521484
550,608.791016,604.416016,10.183594,9.205078
551,621.238281,624.970703,10.109375,9.423828
552,597.115234,607.775391,11.246094,9.349609
553,685.462891,635.839844,11.878906,9.621094
554,628.494141,626.591797,10.250000,9.880859
555,635.462891,635.779297,10.818359,9.632813
556,628.359375,636.732422,10.806641,10.140625
557,625.367188,630.525391,11.125000,10.400391
558,645.187500,640.238281,11.029297,9.972656
559,653.892578,654.703125,10.656250,10.039063
